Julia's Classifier
---------------------------------------------
Expected results:

Accuracy: 0.529642
Precision: 0.540787
Recall: 0.519452
F1 Score: 0.529905



1	"Yo no creo que a nadie le haya encantado un pene flácido .
"	"Yo no creo que a nadie le haya encantado un pene flcido 
"
1	"No va a resolver sus problemas de crédito o mejorar su relación con su padre .
"	"No va a resolver sus problemas de crdito o mejorar su relacin con su padre 
"
1	"Te encantará este !
"	"Te encantar este 
"
1	"Yo estaba a volar a un aeropuerto varias horas de distancia , alquilar un coche , conducir a un lugar remoto en Canadá , y desactivar el teléfono .
"	"Yo estaba a volar a un aeropuerto varias horas de distancia  alquilar un coche  conducir a un lugar remoto en Canad  y desactivar el telfono 
"
1	"( Maid En Manhattan , The Wedding Planner , Jersey Girl , Monster In Law , , Gigli , The Back-Up Plan , ¿ Qué esperar cuando se está esperando )
"	" Maid En Manhattan  The Wedding Planner  Jersey Girl  Monster In Law   Gigli  The BackUp Plan   Qu esperar cuando se est esperando 
"
0	"Mi padre llegó con la primera ola de fuerzas aliadas en el día D , 6 de junio 1944 .
"	"Mi padre lleg con la primera ola de fuerzas aliadas en el da D   de junio  
"
1	"Y podemos todos estar de acuerdo que los envases no miente ?
"	"Y podemos todos estar de acuerdo que los envases no miente 
"
1	"Por supuesto , todos los compañeros de reparto de Casey en Happy Endings estaban allí también , como Elisha Cuthbert y Damon Wayans Jr .
"	"Por supuesto  todos los compaeros de reparto de Casey en Happy Endings estaban all tambin  como Elisha Cuthbert y Damon Wayans Jr 
"
0	"Al estilo chino capitalismo autoritario - sí mismo un producto de las lecciones aprendidas por los líderes leninistas de China desde la caída del Muro - parece más atractivo para mucha gente fuera al oeste tradicional , mientras que el capitalismo desenfrenado , desigual occidental financiera ( también en parte a Hubris post-1989 ) miradas menos .
"	"Al estilo chino capitalismo autoritario  s mismo un producto de las lecciones aprendidas por los lderes leninistas de China desde la cada del Muro  parece ms atractivo para mucha gente fuera al oeste tradicional  mientras que el capitalismo desenfrenado  desigual occidental financiera  tambin en parte a Hubris post  miradas menos 
"
1	"Si sólo abrasador culpa y la envidia fuera de lugar no eran tan maldito tiempo .
"	"Si slo abrasador culpa y la envidia fuera de lugar no eran tan maldito tiempo 
"
1	"Pregunte a sus amigos que tienen su mierda juntos para empezar bien con los adultos , que funcionan adecuadas .
"	"Pregunte a sus amigos que tienen su mierda juntos para empezar bien con los adultos  que funcionan adecuadas 
"
1	"Así que para los próximos días , la plaza fue llamada "" Adolf Hitler Platz "" en Google Maps .
"	"As que para los prximos das  la plaza fue llamada  Adolf Hitler Platz  en Google Maps 
"
