hotel,is_canceled,lead_time,adults,children,market_segment,country,reserved_room_type,booking_changes,adr,customer_type
City Hotel,1,196,2,0,Online TA,ESP,A,0,105.3,Transient
City Hotel,0,44,2,0,Offline TA/TO,FRA,D,0,60,Transient
City Hotel,1,279,2,0,Groups,PRT,A,0,65,Transient
City Hotel,0,22,1,0,Corporate,PRT,A,0,62,Transient-Party
City Hotel,1,299,2,0,Groups,PRT,A,0,62,Transient-Party
City Hotel,0,109,2,0,Online TA,DEU,A,1,130.33,Transient
City Hotel,1,112,2,0,Offline TA/TO,PRT,A,0,95,Transient
City Hotel,1,317,2,0,Offline TA/TO,PRT,A,0,120,Transient
Resort Hotel,1,1,2,0,Online TA,FRA,A,0,171,Transient
City Hotel,1,209,0,2,Online TA,DNK,B,0,110.75,Transient
City Hotel,0,140,1,0,Groups,PRT,A,1,65,Transient-Party
City Hotel,0,297,1,0,Online TA,FRA,A,0,76.5,Transient
City Hotel,1,279,2,0,Offline TA/TO,PRT,A,0,110,Transient
City Hotel,0,36,1,0,Offline TA/TO,DEU,A,2,71,Transient-Party
Resort Hotel,1,146,2,0,Online TA,PRT,A,1,119,Transient
City Hotel,0,106,2,0,Online TA,DEU,A,0,171.9,Transient
Resort Hotel,0,31,2,0,Offline TA/TO,GBR,A,0,42.95,Contract
City Hotel,0,168,3,0,Offline TA/TO,AUT,D,0,107.1,Transient
City Hotel,0,52,2,0,Corporate,AUT,A,0,126,Transient
City Hotel,0,44,2,0,Groups,PRT,A,0,98,Transient-Party
Resort Hotel,0,27,2,0,Offline TA/TO,GBR,A,0,40.94,Contract
Resort Hotel,0,147,2,0,Offline TA/TO,PRT,D,0,70.2,Transient
Resort Hotel,1,153,2,2,Online TA,PRT,C,0,282.29,Transient
City Hotel,1,101,1,0,Groups,PRT,A,0,140,Transient
City Hotel,1,116,1,0,Offline TA/TO,PRT,A,1,61,Transient-Party
City Hotel,0,17,2,0,Online TA,DEU,D,0,165,Transient
City Hotel,1,174,2,0,Offline TA/TO,PRT,A,0,70,Transient
City Hotel,0,0,2,1,Direct,PRT,A,2,199,Transient
City Hotel,0,214,2,0,Direct,PRT,A,0,89.1,Transient-Party
Resort Hotel,1,73,2,0,Online TA,USA,A,0,42,Transient
Resort Hotel,1,323,2,0,Groups,PRT,A,0,72,Transient
City Hotel,1,337,2,0,Groups,PRT,A,0,62,Transient
Resort Hotel,1,113,2,0,Groups,PRT,A,0,72,Transient
City Hotel,0,0,1,0,Corporate,PRT,D,0,0,Transient
Resort Hotel,0,0,2,0,Direct,PRT,L,0,172,Transient
City Hotel,0,18,2,0,Online TA,ESP,A,0,169,Transient
City Hotel,0,16,2,0,Offline TA/TO,PRT,A,1,0,Transient
City Hotel,0,180,2,0,Online TA,GBR,D,2,162.33,Transient
City Hotel,0,55,2,0,Online TA,DEU,D,0,84.2,Transient
Resort Hotel,0,143,2,0,Offline TA/TO,GBR,D,0,106.26,Contract
City Hotel,1,6,2,0,Online TA,PRT,D,0,155,Transient
City Hotel,0,69,2,0,Online TA,PRT,A,0,126.9,Transient
City Hotel,1,126,1,0,Groups,PRT,A,0,57.5,Transient
Resort Hotel,0,2,2,0,Online TA,USA,E,0,159,Transient
City Hotel,0,15,1,0,Corporate,PRT,A,0,81,Transient-Party
City Hotel,0,198,0,0,Online TA,GBR,A,0,0,Transient
Resort Hotel,0,0,1,0,Direct,PRT,A,0,40,Transient
City Hotel,1,150,1,0,Offline TA/TO,PRT,A,0,120,Transient
City Hotel,0,5,2,0,Offline TA/TO,FRA,A,0,66,Transient
City Hotel,0,37,2,0,Direct,FRA,A,0,73.1,Transient
Resort Hotel,1,252,2,0,Online TA,FRA,E,1,55.8,Transient
City Hotel,0,7,3,0,Online TA,POL,A,1,165,Transient
Resort Hotel,0,63,1,0,Online TA,PRT,A,0,29.72,Transient
Resort Hotel,0,31,1,0,Corporate,AUT,E,2,57,Transient-Party
Resort Hotel,0,66,2,0,Online TA,NLD,G,1,159.67,Transient
Resort Hotel,0,0,2,0,Direct,BRA,E,0,58,Transient
City Hotel,1,36,2,0,Online TA,FRA,D,0,139.14,Transient
Resort Hotel,1,160,2,0,Online TA,PRT,A,0,115.2,Transient
City Hotel,0,16,2,0,Offline TA/TO,GRC,A,0,75,Transient
City Hotel,1,87,2,0,Groups,PRT,A,0,95,Transient
Resort Hotel,0,110,1,0,Online TA,GBR,A,0,66,Transient
Resort Hotel,1,187,2,0,Online TA,PRT,D,0,149.33,Transient
City Hotel,1,295,2,0,Groups,PRT,A,0,62,Transient-Party
City Hotel,0,10,1,0,Corporate,PRT,A,0,95,Transient-Party
